DataID|TITEL|I_DOCTYPE|NAME
75718022|BTM Wareneingang|Lieferschein|Alloga AG (Roche RX)
75718040|BTM Wareneingang|Lieferschein|Pfizer PFE Switzerland GmbH
75718599|BTM Wareneingang|Lieferschein|Alloga AG (Roche RX)
75718601|BTM Wareneingang|Lieferschein|Alloga AG (Roche RX)
75718624|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75718626|BTM Wareneingang|Lieferschein|Pfizer PFE Switzerland GmbH
75718633|BTM Wareneingang|Lieferschein|Vifor SA
75718651|BTM Wareneingang|Lieferschein|Sanofi-Aventis (Suisse) SA
75718656|BTM Wareneingang|Lieferschein|Mundipharma Medical Company
75718840|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75718858|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75718860|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75718865|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75718874|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75718951|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75718967|BTM Wareneingang|Lieferschein|Sanofi-Aventis (Suisse) SA
75718974|BTM Wareneingang|Lieferschein|Mundipharma Medical Company
75718976|BTM Wareneingang|Lieferschein|Mundipharma Medical Company
75719008|BTM Wareneingang|Lieferschein|Alloga AG (Roche RX)
75719017|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75719042|BTM Wareneingang|Lieferschein|Streuli Pharma AG
75719060|BTM Wareneingang|Lieferschein|Sanofi-Aventis (Suisse) SA
75719135|BTM Wareneingang|Lieferschein|Alloga AG (Roche RX)
75719142|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75719294|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75719335|BTM Wareneingang|Lieferschein|Sanofi-Aventis (Suisse) SA
75719344|BTM Wareneingang|Lieferschein|Mundipharma Medical Company
75719383|BTM Wareneingang|Lieferschein|Mundipharma Medical Company
75719394|BTM Wareneingang|Lieferschein|Mepha Schweiz AG
75719453|BTM Wareneingang|Lieferschein|Sandoz Pharmaceuticals AG
